,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
1413,Architecture and construction,Architecture,WD144,,,,,,,,8,Waterford Institute of Technology,,,
1414,Physical sciences,Pharmaceutical Science,WD147,,,,,,,,8,Waterford Institute of Technology,,,
1415,Law,Criminal Justice Studies,WD150,,,,,,,,8,Waterford Institute of Technology,,,
1416,Information and Communication Technologies (ICTs),Software Systems Development,WD151,,,,,,,,7,Waterford Institute of Technology,,,
1417,Arts,Visual Art,WD152,,,,,,,,8,Waterford Institute of Technology,,,
1418,Information and Communication Technologies (ICTs),Multimedia Applications Development,WD153,,,,,,,,7,Waterford Institute of Technology,,,
1419,Information and Communication Technologies (ICTs),Information Technology,WD155,,,,,,,,7,Waterford Institute of Technology,,,
1420,Business and administration,Business,WD159,,,,,,,,7,Waterford Institute of Technology,,,
1421,Information and Communication Technologies (ICTs),Computer Forensics and Security,WD161,,,,,,,,8,Waterford Institute of Technology,,,
1422,Architecture and construction,Quantity Surveying,WD162,,,,,,,,8,Waterford Institute of Technology,,,
1423,Social and behavioural sciences,Psychology,WD163,,,,,,,,8,Waterford Institute of Technology,,,
1424,Biological and related sciences,Food Science with Business,WD164,,,,,,,,7,Waterford Institute of Technology,,,
1425,Personal services,Culinary Arts,WD172,,,,,,,,6,Waterford Institute of Technology,,avp,
1426,Personal services,Hospitality Studies,WD173,,,,,,,,6,Waterford Institute of Technology,,,
1427,Personal services,Tourism,WD174,,,,,,,,6,Waterford Institute of Technology,,,
1428,Physical sciences,Pharmaceutical Science,WD175,,,,,,,,7,Waterford Institute of Technology,,,
1429,Biological and related sciences,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",WD177,,,,,,,,7,Waterford Institute of Technology,,avp,v
1430,Engineering and engineering trades,Electrical Engineering,WD182,,,,,,,,7,Waterford Institute of Technology,,,
1431,Business and administration,Retail Management,WD184,,,,,,,,7,Waterford Institute of Technology,,,
1432,Personal services,Sports Coaching and Performance,WD186,,,,,,,,8,Waterford Institute of Technology,,,
1433,Welfare,Social Science,WD187,,,,,,,,8,Waterford Institute of Technology,,,
1434,Health,Applied Health Care,WD188,,,,,,,,7,Waterford Institute of Technology,,,
1435,Agriculture,Agricultural Science,WD191,,,,,,,,8,Waterford Institute of Technology,,,
1436,Welfare,Social Care Practice,WD192,,,,,,,,8,Waterford Institute of Technology,,,
1437,Business and administration,Marketing and Digital Media,WD193,,,,,,,,8,Waterford Institute of Technology,,,
1438,Personal services,Culinary Arts,WD194,,,,,,,,8,Waterford Institute of Technology,,,
1439,Architecture and construction,Architectural and Building Information Modelling Technology,WD195,,,,,,,,8,Waterford Institute of Technology,,,
1440,Arts,Arts (options),WD200,,,,,,,,8,Waterford Institute of Technology,,avp,
1441,Biological and related sciences,Molecular Biology with Biopharmaceutical Science,WD205,,,,,,,,7,Waterford Institute of Technology,,avp,
1442,Engineering and engineering trades,Electronic Engineering,WD206,,,,,,,,7,Waterford Institute of Technology,,,
1443,Engineering and engineering trades,Mechanical Engineering,WD207,,,,,,,,7,Waterford Institute of Technology,,,
1444,Engineering and engineering trades,Manufacturing Engineering,WD208,,,,,,,,7,Waterford Institute of Technology,,,
1445,Information and Communication Technologies (ICTs),Software Systems Development,WD210,,,,,,,,8,Waterford Institute of Technology,,,
1446,Information and Communication Technologies (ICTs),Creative Computing,WD211,,,,,,,,8,Waterford Institute of Technology,,,
1447,Personal services,Recreation and Sport Management,WD212,,,,,,,,8,Waterford Institute of Technology,,,
1448,Engineering and engineering trades,Mechanical and Manufacturing Engineering,WD230,,,,,,,,8,Waterford Institute of Technology,,avp,
1449,Welfare,Early Childhood Care and Education,WD231,,,,,,,,8,Waterford Institute of Technology,,,
1450,Business and administration,Business Information Systems,WD232,,,,,,,,8,Waterford Institute of Technology,,avp,
