,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
236,Business and administration,Commerce (International) with Hispanic Studies,CK208,,,,,,,,8,University College Cork (NUI),,,
237,Business and administration,Commerce (International) with Irish,CK209,,,,,,,,8,University College Cork (NUI),,,
238,Business and administration,Commerce (International) with Chinese Studies,CK211,,,,,,,,8,University College Cork (NUI),,,
239,Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,,,,,,,,8,University College Cork (NUI),,,
240,Business and administration,Food Marketing and Entrepreneurship,CK213,,,,,,,,8,University College Cork (NUI),,,
241,Social and behavioural sciences,International Development,CK214,,,,,,,,8,University College Cork (NUI),,,
242,Law,Law (Pathways) -  3 or 4 years,CK301,,,,*,,,,8,University College Cork (NUI),,,
243,Law,Law and French,CK302,,,,,,,,8,University College Cork (NUI),,,
244,Law,Law and Irish,CK304,,,,,,,,8,University College Cork (NUI),,,
245,Law,Law and Business,CK307,,*,,*,,,,8,University College Cork (NUI),,,
246,Information and Communication Technologies (ICTs),Computer Science,CK401,,,,,,,,8,University College Cork (NUI),,,
247,Biological and related sciences,Biological and Chemical Sciences,CK402,,*,,,,*,,8,University College Cork (NUI),,,
248,Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,,,,*,,*,,8,University College Cork (NUI),,,
249,Biological and related sciences,Genetics,CK405,,,,,,,,8,University College Cork (NUI),,,
250,Physical sciences,Chemical Sciences,CK406,,,,,,,,8,University College Cork (NUI),,,
251,Mathematics and statistics,Mathematical Sciences,CK407,,,,,,,,8,University College Cork (NUI),,,
252,Physical sciences,Physics and Astrophysics,CK408,,,,,,,,8,University College Cork (NUI),,,
253,Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,,,,,,,,8,University College Cork (NUI),,,
254,Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,,,,,,,,8,University College Cork (NUI),,,
255,Agriculture,Agricultural Science,CK412,,,,,,,,8,University College Cork (NUI),,,
256,Biological and related sciences,Nutritional Sciences,CK504,,,,*,,*,,8,University College Cork (NUI),,,
257,Manufacturing and processing,Food Science,CK505,,,,,,,,8,University College Cork (NUI),,,
258,Engineering and engineering trades,Engineering,CK600,,,,*,,,,8,University College Cork (NUI),,,
259,Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,,,,,,,,8,University College Cork (NUI),,,
260,Health,Medicine (Undergraduate Entry - HPAT required),CK701,,,,*,,*,,8,University College Cork (NUI),#,,
261,Health,Dentistry,CK702,,*,,*,,*,,8,University College Cork (NUI),,,
262,Health,Pharmacy,CK703,,*,,*,,*,,8,University College Cork (NUI),,,
263,Health,Occupational Therapy,CK704,,*,,,,*,,8,University College Cork (NUI),,,
264,Health,Speech and Language Therapy,CK705,,,,*,,,,8,University College Cork (NUI),,,
265,Health,Public Health Sciences,CK706,,,,,,,,8,University College Cork (NUI),,,
266,Health,Medical and Health Sciences,CK707,,*,,,,*,,8,University College Cork (NUI),,,
267,Health,General Nursing,CK710,,*,,*,,*,,8,University College Cork (NUI),,,
268,Health,Children`s and General Nursing (Integrated),CK712,,,,,,,,8,University College Cork (NUI),,,
269,Health,Mental Health Nursing,CK720,,,,,,,,8,University College Cork (NUI),,,
270,Health,Intellectual Disability Nursing,CK730,,,,,,,,8,University College Cork (NUI),,,
