,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v,hei_code
179,Biological and related sciences,Biological Sciences (Common Entry),CR335,473.0,,,,473.0,,507.0,8,Cork Institute of Technology,,,,CR
180,Physical sciences,Analytical Chemistry with Quality Assurance,CR340,327.0,,,,327.0,,400.0,8,Cork Institute of Technology,,,,CR
181,Physical sciences,Instrument Engineering,CR360,301.0,,,,301.0,,378.0,8,Cork Institute of Technology,,,,CR
182,Environment,Environmental Science and Sustainable Technology,CR365,262.0,,,,262.0,,347.0,8,Cork Institute of Technology,,,,CR
183,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,368.0,,,,368.0,,423.0,8,Cork Institute of Technology,,,,CR
184,Business and administration,Accounting,CR400,315.0,,,,315.0,,423.0,8,Cork Institute of Technology,,,,CR
185,Business and administration,Marketing,CR420,290.0,,,,290.0,,357.0,8,Cork Institute of Technology,,,,CR
186,Business and administration,International Business with Language,CR425,279.0,,,,279.0,,419.0,8,Cork Institute of Technology,,,,CR
187,Personal services,Sport and Exercise Management,CR430,402.0,,,,402.0,,434.0,8,Cork Institute of Technology,,,,CR
188,Education,Montessori Education,CR440,409.0,,408.0,,408.0,,431.0,8,Cork Institute of Technology,,,,CR
189,Engineering and engineering trades,Engineering (Common Entry),CR500,475.0,,,,475.0,,499.0,8,Cork Institute of Technology,,,,CR
190,Environment,Sustainable Energy Engineering,CR510,320.0,,,,320.0,,393.0,8,Cork Institute of Technology,,,,CR
191,Health,Biomedical Engineering,CR520,444.0,,,,444.0,,498.0,8,Cork Institute of Technology,,,,CR
192,Architecture and construction,Architectural Technology,CR560,375.0,,,,375.0,,436.0,8,Cork Institute of Technology,,,,CR
193,Architecture and construction,Interior Architecture,CR565,431.0,,,,431.0,,465.0,8,Cork Institute of Technology,,,,CR
